Mol. Wt.,JR Hvap /(kJ mol-1),CRC Hvap /(kJ mol-1)
60.052000000000014,37.21,23.7
41.053,30.524,29.75
56.064000000000014,28.322000000000003,28.3
100.11699999999996,33.461,36.3
89.13799999999995,50.522000000000006,50.6
108.13999999999994,35.862,38.97
110.18099999999995,37.963,39.93
150.17700000000008,45.31100000000001,49.4
212.24800000000008,58.717,53.6
143.0130000000001,35.678,45.2
129.384,28.64,30.0
197.381,26.731,28.08
106.94999999999996,25.811,23.4
137.02000000000007,29.637,29.23
207.07,48.867,39.3
122.99299999999997,28.319000000000003,28.33
120.97699999999998,28.037,30.24
72.10699999999996,31.218000000000004,31.5
58.12400000000002,24.498,22.44
69.10699999999997,34.976,33.68
74.12299999999995,41.17700000000001,43.29
72.10699999999997,31.244,31.3
56.10800000000002,23.828000000000003,22.07
116.15999999999993,36.357,36.28
116.15999999999994,35.061,33.07
73.13899999999995,33.843,28.27
126.2429999999999,35.885000000000005,36.16
102.17699999999992,31.360000000000003,31.63
130.23099999999994,34.128,33.11
88.14999999999993,29.134,29.55
116.20399999999992,33.586,33.72
54.09200000000001,24.356,24.52
86.08999999999997,32.126999999999995,42.773
127.57399999999996,46.914,44.4
92.56899999999996,28.883000000000003,30.39
64.51500000000001,24.431,24.65
62.49900000000001,23.761000000000003,20.8
50.48800000000001,22.205,21.4
92.56899999999996,28.495,29.22
162.61900000000006,46.817,52.1
106.59599999999996,31.109,33.15
78.54199999999997,26.269,26.3
76.52599999999998,25.987,29.0
104.458,18.458,15.8
108.13999999999994,46.466,45.19
52.036,41.002,23.33
56.10800000000002,24.892000000000003,24.19
82.14599999999994,29.98,30.46
70.13499999999998,27.29,27.3
102.20199999999994,33.718,35.32
67.09099999999998,34.889,35.55
138.25400000000005,38.368,41.0
142.2860000000001,37.854,39.58
187.862,32.916,34.77
201.88900000000007,34.754000000000005,35.61
259.822,27.056,27.03
130.23099999999994,35.812,36.49
130.23099999999994,33.22,32.15
146.29900000000015,37.627,33.26
147.00400000000002,40.658,38.62
120.913,23.66,20.1
98.95999999999998,28.428,28.85
96.944,28.774,30.2
116.95,26.703000000000003,26.06
220.927,22.252,26.28
84.93299999999999,26.59,28.06
112.98699999999998,31.042,35.18
118.17599999999992,33.382,36.28
104.14899999999992,31.544,31.33
122.25799999999995,38.132000000000005,37.58
134.175,36.18000000000001,36.17
120.14799999999993,48.223,46.6
160.1690000000001,45.99,54.8
128.2589999999999,34.332,34.61
114.09399999999998,30.254,32.21
114.09399999999998,30.254,31.1
86.15899999999996,31.168,33.24
86.15899999999996,31.168,34.83
101.19299999999993,34.61,30.4
118.24499999999992,34.991,33.8
90.12199999999994,29.318,32.42
45.085000000000015,26.482,26.4
100.16099999999992,34.4,33.39
84.16199999999994,29.068,29.64
112.21599999999992,33.522000000000006,32.96
112.21599999999992,33.522000000000006,33.28
94.20399999999998,33.68000000000001,33.78
114.2319999999999,32.626000000000005,33.17
114.2319999999999,32.626000000000005,32.51
114.2319999999999,32.106,32.31
60.100000000000016,32.730000000000004,32.55
100.20499999999991,29.880000000000003,29.23
100.20499999999991,30.4,30.46
100.20499999999991,29.880000000000003,29.62
114.18799999999992,37.146,34.64
107.15599999999996,40.324,38.53
107.15599999999996,40.324,38.68
107.15599999999996,40.324,39.99
107.15599999999996,40.324,39.46
62.137000000000015,26.863,27.0
88.10599999999995,34.256,34.37
88.10599999999995,34.256,34.16
170.21100000000007,49.268,48.2
101.19299999999993,35.386,33.47
102.17699999999994,31.360000000000003,31.31
118.24499999999992,35.767,36.6
170.34000000000023,42.306,44.09
282.5559999999996,60.114,58.49
72.10699999999996,28.921,30.3
30.07,20.046,14.69
60.100000000000016,41.328,37.98
62.06800000000002,53.404,50.5
94.20399999999998,33.52,37.93
62.137000000000015,26.783,26.79
46.06900000000002,36.725,38.56
61.08400000000002,47.366,49.83
90.12199999999994,43.587,39.22
132.159,38.767,40.76
104.14899999999992,31.544,34.33
88.10599999999995,31.905,31.94
100.11699999999996,33.461,34.7
106.16799999999994,35.678,35.57
116.15999999999993,36.357,35.47
102.17699999999992,45.241,43.2
122.55099999999996,36.29,40.43
84.16199999999994,29.035,28.67
112.21599999999992,33.831,34.04
98.18899999999992,31.433,31.96
130.18699999999995,37.287,34.51
28.053999999999995,18.748,13.53
114.2319999999999,33.014,33.59
130.23099999999994,49.693,54.2
172.26800000000017,44.873,43.5
129.24699999999993,43.655,40.0
87.16599999999993,32.772,29.94
88.14999999999993,28.746,28.21
104.21799999999992,33.153,32.74
130.18699999999995,38.195,37.0
112.21599999999992,32.508,33.2
114.2319999999999,32.626000000000005,32.93
114.2319999999999,32.106,32.78
116.15999999999993,35.968999999999994,33.67
76.16399999999996,29.089,29.53
100.20499999999991,30.788000000000004,31.12
130.18699999999995,38.583,36.96
116.20399999999992,33.586,34.41
102.13299999999995,34.131,33.88
88.14999999999995,29.134,28.94
104.21799999999992,33.541,34.24
72.10699999999996,26.238,26.2
96.10399999999996,30.409,31.19
132.22199999999998,32.585,40.43
110.13099999999996,33.297,35.4
110.13099999999996,33.297,34.08
68.07499999999997,30.158,27.1
98.10099999999996,49.725,53.6
92.09399999999997,71.921,61.0
240.4750000000003,53.43600000000001,53.58
100.20499999999991,31.176,31.77
116.20399999999992,47.467,42.5
226.4480000000003,51.21000000000001,51.84
208.057,32.721999999999994,27.05
186.054,29.634,31.66
138.01000000000002,12.552,16.15
86.17799999999993,28.950000000000003,28.85
102.17699999999992,45.629000000000005,44.5
100.16099999999992,35.696,36.35
100.16099999999992,35.696,35.36
101.19299999999993,39.591,36.54
118.17899999999992,38.788,39.63
204.01,40.599,39.5
184.02000000000007,33.870999999999995,34.66
155.96600000000004,29.419,29.44
141.93900000000002,27.193,27.34
184.02000000000007,33.483000000000004,33.54
184.02000000000007,32.575,31.43
169.99300000000008,31.645,32.08
169.99300000000008,31.257,30.68
58.12400000000002,24.11,21.3
116.15999999999993,35.968999999999994,35.9
73.13899999999995,34.751000000000005,30.61
144.21400000000014,40.033,38.2
88.14999999999993,28.746,28.02
72.15099999999997,26.336,24.69
130.18699999999995,38.195,37.5
172.26800000000017,44.485,45.9
102.13299999999995,33.742999999999995,32.93
59.11200000000002,32.525000000000006,27.83
112.21599999999992,33.271,33.56
73.13899999999997,30.546,28.71
134.222,40.404,38.2
74.12299999999996,26.520000000000003,26.05
90.19099999999996,30.927,30.71
101.19299999999993,34.998,32.14
118.24499999999992,35.379,35.11
129.16199999999998,45.754000000000005,49.0
98.14499999999994,35.734,36.1
32.041999999999994,34.499,35.21
76.09499999999996,41.361,37.54
118.13199999999996,36.541,43.9
74.07899999999998,29.679,30.32
86.08999999999997,31.235,33.1
67.09099999999998,34.386,31.8
31.058,28.461,25.6
107.15599999999996,44.755,44.6
107.15599999999996,44.755,44.9
107.15599999999996,44.755,44.3
96.17299999999992,29.851000000000003,31.07
83.13399999999996,36.814,35.1
104.21799999999992,33.073,33.79
104.21799999999992,32.165,31.37
102.13299999999994,34.131,33.79
88.14999999999993,43.015,44.07
88.14999999999993,42.107,39.04
86.13399999999994,33.082,32.35
70.13499999999998,26.134,25.5
70.13499999999998,26.762,26.31
88.14999999999993,27.838,27.94
108.524,34.064,39.23
99.08899999999998,42.383,48.2
114.14399999999996,36.442,37.13
98.18899999999992,31.605,31.27
114.18799999999992,47.133,45.951
114.18799999999992,47.975,53.0
84.16199999999994,29.207,29.08
100.11699999999996,34.044,35.25
156.31300000000022,39.692,40.25
156.31300000000022,39.692,40.7
142.96900000000005,38.06100000000001,39.28
116.15999999999993,35.061,33.42
114.2319999999999,33.014,33.26
114.2319999999999,33.014,33.66
114.2319999999999,33.014,33.35
100.20499999999991,30.788000000000004,30.62
100.20499999999991,30.788000000000004,30.9
130.18699999999995,38.583,38.55
46.073000000000015,34.897000000000006,36.12
102.13299999999994,33.742999999999995,32.61
100.11699999999996,33.541,36.0
142.20100000000008,44.658,45.5
142.2860000000001,37.466,38.23
142.2860000000001,37.466,38.14
58.08000000000002,26.695,27.35
86.17799999999993,28.562000000000005,27.79
86.17799999999993,28.562000000000005,28.06
118.17599999999992,60.62400000000001,57.3
116.15999999999993,36.357,35.36
102.17699999999992,45.241,50.2
102.17699999999992,45.241,44.46
102.17699999999992,44.333,39.59
102.17699999999992,44.853,44.2
100.16099999999992,35.308,34.49
100.16099999999994,35.308,33.84
102.17699999999992,31.360000000000003,32.02
118.24499999999992,35.767,37.41
69.10699999999997,34.588,32.39
90.19099999999996,30.847,31.01
90.19099999999996,29.939,28.45
88.10599999999997,31.905,32.24
74.12299999999995,40.789,41.82
74.12299999999995,39.881,39.07
74.12299999999996,26.908,26.75
90.19099999999996,31.315,32.08
93.12899999999996,37.43600000000001,36.17
93.12899999999996,37.43600000000001,37.35
93.12899999999996,37.43600000000001,37.51
152.14900000000006,56.099,46.7
99.15799999999996,38.33200000000001,37.58
98.16999999999996,34.348,33.9
98.16999999999996,34.348,34.24
87.12199999999996,36.504000000000005,37.1
128.17399999999995,41.77,43.2
72.15099999999997,25.428,22.74
75.06699999999998,36.637,38.0
61.04000000000001,34.411,33.99
89.09399999999997,38.863,38.5
89.09399999999997,38.475,36.8
268.529,57.888000000000005,56.93
128.2589999999999,35.628,37.18
254.50200000000032,55.662000000000006,55.23
282.4679999999995,72.784,67.4
114.2319999999999,33.402,34.41
144.21400000000014,50.566,58.5
130.23099999999994,49.693,44.4
112.21599999999992,32.732,34.07
110.19999999999992,33.260000000000005,35.83
110.19999999999992,35.554,37.26
110.19999999999992,35.554,36.94
110.19999999999992,35.554,36.0
58.08000000000001,27.176,28.67
44.05300000000001,24.778,25.54
202.295,40.287000000000006,36.9
212.42100000000028,48.984,50.08
168.064,29.789,32.15
182.091,32.677,34.75
72.15099999999997,26.724,25.79
104.14899999999994,60.082,60.7
100.11699999999996,40.216,34.3
83.13399999999996,37.202,36.09
104.21799999999992,33.461,34.88
102.13299999999994,43.888000000000005,44.1
88.14999999999993,43.403000000000006,44.36
88.14999999999993,43.015,41.4
86.13399999999994,33.47,33.44
86.13399999999996,33.47,33.45
70.13499999999998,26.054,25.2
81.11799999999997,37.16,37.09
130.18699999999995,38.583,38.42
87.16599999999994,37.365,34.01
238.024,11.144,22.9
200.028,12.516,23.2
438.0519999999999,8.328,33.38
94.11299999999996,43.578,45.69
58.08000000000002,28.992,28.31
44.09700000000002,22.272,19.04
74.12699999999995,43.554,40.85
76.09499999999997,55.242,52.4
76.09499999999996,55.63,57.9
55.08000000000001,32.75,31.81
76.16399999999996,29.009,29.54
76.16399999999996,28.621,27.91
60.096000000000025,38.95100000000001,41.44
60.096000000000025,38.563,39.85
42.08100000000002,21.602,18.42
104.14899999999994,45.813,41.4
102.13299999999995,34.131,33.92
59.11200000000002,32.913,29.55
112.21599999999992,33.659000000000006,34.7
116.15999999999994,36.357,35.54
79.10199999999998,34.548,35.09
80.08999999999997,38.532,43.09
67.09099999999998,32.406000000000006,38.75
71.12299999999998,31.822,33.01
129.16199999999998,45.754000000000005,49.7
68.11899999999999,25.536,26.76
104.15199999999994,35.008,38.7
80.08999999999999,45.45400000000001,48.5
345.65399999999994,45.010000000000005,48.7
167.85000000000002,36.81,37.64
165.834,37.704,34.68
153.823,34.064,29.82
198.39400000000023,46.758,48.16
72.10699999999997,29.574,29.81
102.13299999999995,48.17,45.2
132.206,41.18600000000001,43.9
86.13399999999996,31.972,31.17
88.17499999999995,30.876,34.66
128.2589999999999,33.036,32.51
196.031,82.88799999999999,40.74
102.20199999999994,33.274,35.96
74.14799999999997,28.478,32.32
84.14299999999997,31.46,31.48
92.14099999999996,33.452,33.18
252.731,36.737,39.66
185.35500000000025,44.349,46.9
133.40500000000003,31.905,29.86
133.40500000000003,32.813,34.82
131.389,33.239000000000004,31.4
137.368,28.862,25.1
119.378,30.587000000000003,29.24
147.43200000000004,35.039,37.1
187.375,28.158,26.85
187.375,28.158,27.04
184.36700000000025,44.532,46.2
101.19299999999993,30.993,31.01
150.17400000000012,67.128,71.4
114.022,33.462999999999994,33.3
84.03999999999999,16.299,18.99
146.11100000000005,29.705,32.63
59.112000000000016,24.315,22.94
100.20499999999991,29.492000000000004,28.9
128.2589999999999,33.944,33.65
128.2589999999999,34.464,34.43
156.31300000000022,38.916,38.22
114.2319999999999,31.718000000000004,31.94
114.2319999999999,31.718000000000004,30.79
114.2319999999999,31.718000000000004,32.12
114.2319999999999,32.238,32.36
128.21499999999992,38.464,35.64
121.18299999999994,43.212,39.95
121.18299999999994,43.212,39.87
671.0850000000004,6.738,46.4
156.31300000000022,40.08,41.91
86.08999999999997,31.235,34.6
106.16799999999994,36.34,36.24
106.16799999999994,36.34,35.66
106.16799999999994,36.34,35.67
122.16699999999992,49.354,46.9
