Mol. wt.,JR Tm /K,CRC Tm /K
353.3299999999998,753.3399999999999,471.15
135.16600000000005,308.93,387.5
177.2030000000001,381.4,359.15
75.06699999999998,275.71000000000004,363.15
41.053,177.29,229.15
131.131,394.3,398.15
179.17500000000007,493.32,529.65
223.2750000000001,481.02,466.15
173.21200000000013,443.11,377.65
103.12099999999997,298.25,336.65
117.10399999999996,398.03,479.15
191.2520000000001,451.24,378.65
309.2709999999997,796.1499999999999,459.15
235.28300000000013,392.61,366.15
246.2660000000001,663.8899999999999,462.65
251.28200000000007,504.33,353.65
361.659,711.0099999999999,437.45
179.2220000000001,412.15,383.21
195.2210000000001,513.1,573.15
53.06400000000001,186.8,189.64
221.3440000000002,319.89,296.15
158.11700000000008,678.0899999999999,512.15
131.131,300.16,330.15
100.12099999999997,318.93,358.15
285.4749999999994,507.28,317.65
104.10899999999998,435.69,383.15
223.23100000000005,583.34,577.65
151.16500000000008,462.72,468.15
122.17099999999996,374.11,334.15
125.19599999999996,316.04,299.15
118.13899999999995,355.84000000000003,324.15
118.13899999999995,355.84000000000003,359.35
266.2529999999998,755.9899999999999,446.15
169.2270000000001,373.62,322.28
169.2270000000001,373.62,324.15
103.12099999999997,363.7,467.45
208.2610000000001,392.65,368.15
237.0970000000001,466.65,391.15
195.1740000000001,546.15,494.15
171.58300000000006,493.89,484.15
231.68200000000007,477.2600000000001,373.65
181.18800000000013,484.74,400.15
206.028,536.33,475.15
178.01800000000003,463.66,368.65
177.16300000000004,679.8,603.65
61.08400000000002,241.38,370.15
102.13699999999996,320.69,324.15
137.18200000000007,401.3200000000001,437.65
131.17499999999998,401.24,478.15
239.23000000000005,695.06,489.65
153.13700000000006,563.17,526.65
119.11999999999996,424.52,489.15
126.11899999999996,569.56,443.15
237.25800000000007,607.13,478.65
157.21300000000014,426.92,522.15
123.15499999999994,402.57,449.65
105.13699999999996,342.16,384.08
103.12099999999997,363.7,458.15
171.2840000000002,393.24,318.65
173.17100000000005,493.04,480.15
159.18800000000007,469.08,479.15
182.13500000000005,607.5799999999999,551.15
154.12500000000003,534.91,419.15
154.12500000000006,534.91,404.15
115.08799999999998,423.55,445.65
103.16499999999994,290.19,311.65
109.12799999999996,378.78,395.65
150.18100000000007,404.71,361.15
199.2570000000001,522.0600000000001,431.15
135.16600000000005,352.05000000000007,371.65
177.24700000000013,385.86,347.65
75.11099999999995,267.65,285.25
165.23600000000013,342.96000000000004,352.65
131.22299999999996,376.56,268.04999999999995
138.12600000000003,511.72,585.15
201.3100000000002,457.59,462.15
309.40899999999954,504.2,316.54999999999995
209.2450000000001,557.58,460.65
221.25600000000009,518.5,359.15
93.12899999999996,267.06,267.15
137.13800000000006,451.45,452.85
265.35999999999984,571.6500000000001,395.15
203.24400000000009,440.66,450.65
132.11900000000003,496.89,508.15
133.10300000000004,524.3,550.65
266.3409999999999,525.38,420.15
197.3220000000002,385.23,425.65
57.09600000000001,247.26,203.15
335.2819999999997,624.1299999999999,338.75
184.1950000000001,625.9200000000001,462.15
327.4239999999995,506.04,324.15
223.2280000000001,455.16,402.75
121.13899999999995,328.26,401.15
150.18100000000007,392.19,388.65
108.14399999999996,362.84,376.15
108.14399999999996,362.84,413.45
164.16400000000007,485.24,595.45
131.178,282.6,272.15
184.2420000000001,469.4,400.15
118.13899999999995,407.1,445.35
197.19300000000004,572.8100000000001,573.15
136.15400000000005,380.92,388.15
212.25200000000007,444.36,441.15
179.22200000000004,412.15,324.09
150.20600000000005,481.30000000000007,405.15
135.19100000000003,385.52,275.65
165.22100000000006,533.96,475.95
119.12699999999997,467.37,373.15
135.12200000000004,384.17,413.15
193.20200000000008,477.07,438.65
240.26200000000009,505.56,511.15
313.35299999999967,587.0999999999999,392.65
183.2540000000001,384.89,307.65
208.2640000000001,524.9300000000001,460.15
211.3080000000001,344.12,308.15
280.2799999999997,636.47,407.65
322.36099999999965,624.68,373.15
175.27500000000012,363.83,289.95
169.22700000000006,349.38,285.54999999999995
150.18100000000007,392.19,421.15
342.13399999999984,618.47,359.25
322.3169999999997,618.3,343.75
184.2420000000001,469.4,354.15
211.2640000000001,415.49,445.95
156.18800000000007,398.38000000000005,343.04999999999995
156.18800000000007,398.38000000000005,341.15
256.30800000000005,578.98,469.15
361.39699999999976,583.2,407.15
103.16899999999994,354.02,234.15
248.3760000000001,538.2,366.15
212.2960000000001,491.94,410.15
218.12700000000007,321.19000000000005,318.15
324.4679999999995,519.1800000000001,368.45
270.3759999999997,469.99,375.15
287.4439999999994,474.12,311.85
148.20600000000013,384.34,373.25
195.2620000000001,406.78,337.65
308.33999999999986,658.9,471.65
308.33999999999986,658.9,455.15
354.8319999999999,577.3600000000001,469.15
137.96400000000003,274.69,376.65
289.12899999999973,677.54,454.15
172.02500000000003,339.38,291.65
196.04700000000005,343.65,321.15
182.02000000000004,332.38,328.65
182.02000000000004,332.38,387.15
200.0790000000001,311.13000000000005,328.15
247.004,555.86,348.15
208.05800000000005,394.17,314.65
186.05200000000008,363.17,332.65
196.04700000000005,343.65,387.15
216.03400000000005,411.0,372.15
217.022,495.51,384.65
202.007,399.73,327.15
199.98800000000003,451.04,404.65
187.04000000000005,392.04,381.15
157.99800000000005,303.87,245.85
208.05800000000005,394.17,286.45
229.93,594.0799999999999,291.15
225.29600000000016,581.09,360.15
224.26000000000013,642.97,411.65
88.15399999999995,301.36,295.04999999999995
254.76100000000017,472.9,319.15
67.09099999999998,194.75,221.65
223.27200000000013,449.58,427.15
73.13899999999995,218.1,224.15
73.13899999999995,220.52,206.23
117.19199999999992,273.28,317.15
149.2370000000001,327.08,290.15
117.14799999999994,271.70000000000005,326.15
155.2850000000002,262.5,481.45
297.2669999999997,747.2699999999999,384.65
212.2490000000001,648.46,396.15
191.2740000000001,333.82000000000005,297.65
135.21000000000004,291.57000000000005,233.45
116.16399999999994,331.96000000000004,369.45
116.16399999999994,334.38,449.75
113.15999999999994,338.73,342.30999999999995
201.22500000000008,391.63,415.85
166.1800000000001,384.59,342.65
65.022,170.99,183.15
90.08599999999996,422.8,427.15
215.59200000000004,434.72,305.95
235.30800000000008,501.45,369.15
179.1970000000001,569.97,479.15
226.2360000000001,728.39,533.15
405.5789999999994,641.4999999999999,415.65
304.2169999999996,539.3900000000001,340.04999999999995
561.5470000000018,797.18,363.15
223.65900000000008,409.55,318.65
93.51299999999998,275.41,394.15
211.64800000000008,423.84,491.15
127.57399999999996,309.5,270.85
127.57399999999996,309.5,343.54999999999995
151.59600000000006,313.77,297.15
151.59600000000006,313.77,302.15
142.58900000000008,405.28,364.15
137.56900000000002,302.5,316.65
137.56900000000002,302.5,364.75
184.65100000000004,523.74,473.15
153.57200000000003,509.81,431.15
153.56800000000004,371.08,280.15
188.61700000000005,382.2600000000001,369.15
170.0830000000001,249.69,239.15
316.5709999999998,630.74,520.15
271.6999999999997,515.88,380.15
217.568,621.76,430.15
202.553,525.98,323.35
252.61300000000003,616.28,419.65
203.541,586.25,339.65
145.56400000000005,322.61,318.15
305.50199999999995,546.59,451.65
157.60000000000008,355.52,357.15
141.60100000000006,333.29,280.15
141.60100000000006,333.29,299.15
141.60100000000006,333.29,299.15
171.58300000000006,381.12,319.15
171.58300000000003,393.64,310.95
171.58300000000003,393.64,280.35
171.58300000000003,393.64,309.65
172.57100000000003,465.63,393.95
172.57100000000003,465.63,376.15
287.65799999999984,686.13,588.45
157.55600000000004,369.85,316.75
187.58600000000007,561.4100000000001,440.15
201.56500000000003,554.24,439.65
173.55500000000004,481.57,380.65
173.555,481.57,312.15
158.54400000000004,430.12,377.15
225.553,397.83,295.15
169.61100000000005,351.37,359.85
169.61100000000005,351.37,451.55
248.7170000000001,667.4399999999999,506.65
89.52499999999999,218.48,221.75
213.6640000000001,351.31,315.65
128.56199999999998,369.77,410.15
319.8799999999994,548.3699999999999,363.15
163.60700000000003,364.29,308.04999999999995
163.60700000000006,364.29,253.15
257.7690000000001,574.6700000000001,300.15
145.55300000000005,586.09,603.15
247.55,682.1099999999999,355.15
290.74999999999966,523.9000000000001,425.15
390.8669999999997,782.8299999999999,405.65
478.88499999999976,1210.36,441.65
243.30900000000008,537.96,483.65
281.3989999999995,414.94000000000005,348.15
130.15,382.12,311.15
303.1519999999998,710.36,455.15
405.9689999999996,526.1800000000001,390.15
230.09800000000007,560.1400000000001,410.15
192.00100000000003,500.8200000000001,424.15
385.4159999999997,805.51,451.65
143.23000000000013,338.15000000000003,394.15
171.63100000000009,425.58,360.15
42.041,249.28,318.7
43.025000000000006,226.84,187.15
85.06199999999997,349.16,339.15
51.048,235.53,278.15
147.13300000000004,444.45,493.15
52.036,242.28,245.32
61.471,195.94,266.6
152.922,224.08,419.85
160.17600000000007,385.19,472.65
129.075,654.94,603.15
236.27100000000013,695.9,446.15
114.19199999999994,327.04,287.95
159.2320000000001,319.83000000000004,295.25
99.17699999999994,248.02,255.45
175.27500000000015,311.46000000000004,289.15
127.23099999999992,263.52,225.15
234.25500000000008,680.9,412.65
573.7710000000023,1028.69,541.15
198.31000000000017,349.13,411.15
449.85599999999965,577.31,322.35
227.69900000000013,595.45,443.55
77.15199999999997,232.02,372.65
507.6269999999996,919.4199999999998,543.15
160.1730000000001,453.0400000000001,425.85
172.31600000000023,368.98,332.85
153.26900000000015,267.45,258.75
505.2059999999997,651.53,373.55
187.6340000000001,574.3,409.15
300.31399999999974,525.42,394.85
214.26500000000016,648.0,430.15
137.22600000000006,218.38,367.15
238.24600000000007,679.12,576.65
238.24600000000007,679.12,592.15
152.15300000000008,547.23,501.15
108.10399999999998,398.34,451.65
198.2690000000001,480.67,363.15
268.2719999999997,725.14,515.15
90.12599999999996,335.91,315.95
279.3419999999997,592.75,499.75
279.3419999999997,592.75,462.15
267.33099999999973,617.73,494.45
240.3500000000001,428.24,299.15
250.921,411.7,352.65
449.9239999999999,720.38,499.55
276.9149999999999,516.4200000000001,463.65
236.89400000000003,376.19,385.15
338.9829999999999,702.8299999999999,518.15
129.24699999999993,232.58,211.35
263.425,481.84,367.15
127.95799999999998,290.33000000000004,372.55
162.01900000000003,351.94,336.15
162.01900000000003,351.94,312.15
162.01900000000003,351.94,325.15
177.03400000000005,447.72,443.15
253.1320000000001,554.28,438.15
172.014,344.94,416.75
163.00700000000006,400.49,299.15
207.016,508.0700000000001,466.95
192.00100000000003,412.29,314.15
192.00100000000003,412.29,326.65
148.98000000000002,376.7000000000001,341.95
163.99500000000003,472.48,488.15
198.052,406.73,365.55
199.04000000000005,467.00000000000006,424.35
128.134,348.84000000000003,413.75
128.134,348.84000000000003,497.15
224.34800000000016,406.28,506.95
105.13699999999994,309.14,301.04999999999995
133.191,270.1,195.15
73.13899999999995,187.5,223.15
171.24000000000012,264.23,213.15
165.2360000000001,373.0700000000001,351.15
149.2370000000001,261.35,251.85
98.14899999999994,243.57,192.45
267.3249999999998,496.21,404.15
239.27100000000013,481.43000000000006,410.95
223.2720000000001,480.29,368.15
183.2510000000001,470.97,348.65
155.24100000000013,325.04,348.65
169.22400000000013,463.94,377.15
167.2080000000001,464.7,363.85
116.16399999999992,301.36,383.45
129.109,293.28,265.65
159.09100000000004,353.63,282.95
185.35500000000025,277.66,260.15
133.19400000000002,348.09000000000003,310.65
133.15000000000003,414.29,424.15
101.17399999999996,318.25,172.14999999999998
162.1920000000001,423.16,410.15
114.10399999999996,492.96,548.65
102.16199999999998,390.24,358.45
153.13700000000006,470.2000000000001,441.15
205.16900000000004,718.91,562.15
390.90199999999993,580.29,430.15
432.9829999999999,699.3499999999999,486.15
157.30100000000022,225.12,229.15
101.19299999999993,180.04,212.15
266.43499999999983,502.5300000000001,332.15
211.2610000000001,401.31,319.15
272.3919999999997,491.75,419.15
153.1810000000001,359.1,360.65
105.13699999999994,247.56,195.15
183.16300000000007,419.45,371.15
87.12199999999996,217.24,254.15
163.2200000000001,323.8,378.65
165.19200000000006,423.2000000000001,425.65
267.3759999999998,492.9500000000001,409.15
143.1860000000001,241.69,213.15
165.2360000000001,373.0700000000001,390.65
137.18200000000004,350.53000000000003,350.15
175.23100000000008,322.06000000000006,412.65
121.18299999999994,314.64,276.15
121.18299999999994,314.64,279.15
121.18299999999994,314.64,322.15
121.18299999999992,238.81,275.25
136.19800000000006,410.42,401.15
146.19300000000007,454.68,478.65
184.2420000000001,445.96,444.65
101.19299999999993,228.06,253.15
107.53999999999996,235.89,240.15
89.13799999999993,228.13,208.15
60.100000000000016,228.03,216.0
96.13299999999995,364.38000000000005,365.15
145.2050000000001,394.41,380.65
174.2470000000001,425.63000000000005,411.65
171.24300000000008,329.11,314.65
166.18000000000006,394.94,333.15
151.16500000000008,374.99,287.15
151.16500000000008,374.99,288.35
151.16500000000008,374.99,248.15
151.16500000000008,374.99,282.75
268.31599999999975,518.96,531.45
129.11499999999998,403.53,349.65
208.26400000000007,520.0,436.15
163.2200000000001,356.51,402.45
164.20800000000008,352.67,406.05
114.19199999999994,370.58,387.15
101.14899999999994,228.51,228.15
83.13399999999996,213.52,292.12
108.14399999999996,339.40000000000003,288.15
108.14399999999996,339.40000000000003,320.65
96.13299999999995,364.38000000000005,380.65
122.17099999999996,374.91,334.15
122.17099999999994,299.08000000000004,455.15
122.17099999999994,299.08000000000004,387.05
107.15599999999996,279.13,209.35
107.15599999999996,279.13,259.07
107.15599999999992,279.13,267.03
107.15599999999996,279.13,262.7
107.15599999999996,279.13,266.81
123.15899999999996,435.18,426.65
123.15899999999996,435.18,456.15
108.14399999999996,339.40000000000003,298.15
95.14499999999995,304.11,280.83
157.2160000000001,369.43,330.84
157.2160000000001,369.43,334.15
158.20400000000006,429.7000000000001,379.45
297.5709999999992,347.63,296.04999999999995
114.17299999999996,403.0700000000001,338.15
113.18499999999996,342.8,356.65
232.20500000000004,380.65,434.15
88.10999999999996,289.23,454.35
88.10999999999996,278.82,379.15
360.45999999999975,670.32,508.15
312.37199999999973,624.96,569.15
322.24299999999977,697.3699999999999,372.45
183.123,579.3199999999999,401.15
183.123,579.3199999999999,453.25
183.123,579.3199999999999,411.15
183.123,579.3199999999999,411.15
183.123,579.3199999999999,435.15
298.20999999999987,799.8199999999999,585.15
211.133,640.52,457.15
168.108,483.54,388.95
168.108,483.54,362.35
168.108,483.54,444.25
200.106,706.98,420.45
234.62,560.38,372.15
212.117,667.9300000000001,455.85
212.117,667.9300000000001,438.15
212.117,667.9300000000001,478.15
230.563,587.1800000000001,347.15
244.20600000000005,590.1,400.15
244.20600000000005,590.1,508.15
148.11800000000008,422.06,306.65
259.22099999999995,642.76,483.15
260.2049999999999,612.33,416.15
276.2729999999998,624.5,433.65
120.06399999999998,399.52,311.35
106.037,388.25,258.15
218.168,573.84,421.15
218.16800000000003,573.84,490.15
218.16800000000003,573.84,445.15
234.16700000000003,685.5600000000001,411.15
184.10700000000003,595.26,418.25
184.107,595.26,387.15
184.10700000000003,595.26,378.75
184.10700000000003,595.26,335.54999999999995
184.10700000000003,595.26,407.55
226.14400000000003,560.93,345.65
275.2199999999998,754.48,468.65
259.22099999999995,642.76,432.15
198.13800000000003,631.98,474.75
134.0910000000001,395.79,231.15
134.0910000000001,410.79,251.75
134.0910000000001,413.21,325.15
166.08900000000006,534.85,415.15
292.24999999999983,738.1800000000001,582.15
292.24999999999983,738.1800000000001,572.15
240.2150000000001,637.86,316.45
522.0029999999995,548.14,346.04999999999995
241.4630000000003,322.74,293.15
263.2969999999999,509.89,378.65
239.3180000000001,390.3200000000001,406.15
211.2640000000001,382.78,374.55
169.2270000000001,330.5,326.35
260.34,489.72,423.15
336.4379999999997,596.28,520.15
231.68200000000007,401.43000000000006,357.65
242.28200000000007,549.6800000000001,443.15
240.26200000000009,505.56,527.15
212.2960000000001,405.7000000000001,347.15
184.2420000000001,393.5700000000001,323.65
184.2420000000001,383.16,401.85
238.2900000000001,624.73,456.15
221.25900000000007,451.46,344.15
267.37199999999984,521.11,370.65
220.2750000000001,529.9200000000001,473.15
212.2520000000001,454.77,462.15
212.25200000000007,444.36,509.15
210.3650000000002,461.09,340.25
255.3910000000002,589.53,378.15
101.19299999999993,210.04,210.15
185.22300000000013,448.61,315.65
146.19300000000007,459.61,346.15
268.2759999999997,870.6800000000001,604.15
296.33199999999994,808.72,493.15
296.4139999999996,733.8199999999999,477.65
401.4219999999997,550.8800000000001,338.15
233.09800000000007,437.55,430.15
337.5919999999992,465.81,367.15
199.33800000000025,358.19,374.15
200.37000000000023,391.52,341.15
181.3230000000002,289.99,277.15
185.35500000000025,308.26,300.95
245.40700000000027,458.66,342.65
261.4530000000001,414.82,314.65
295.4509999999996,530.23,329.15
543.5250000000015,1310.4900000000002,503.15
145.2020000000001,296.66,330.15
165.2360000000001,312.36,349.65
165.2360000000001,312.36,313.15
165.2360000000001,312.36,313.15
183.20700000000008,539.53,484.65
733.9370000000029,1082.8200000000002,464.15
862.064,1174.2800000000002,495.15
1018.4210000000038,1413.5399999999995,365.15
421.57799999999946,635.8,388.15
333.26599999999974,608.4100000000001,330.15
204.31400000000025,399.42,362.15
60.100000000000016,278.82,284.29
144.22400000000005,333.62,363.15
58.08400000000001,264.34000000000003,238.15
61.08400000000002,256.38,283.54999999999995
395.4989999999996,668.84,373.15
209.2930000000001,561.8799999999999,434.35
253.3050000000001,661.0000000000001,499.15
137.18200000000007,324.35,252.15
137.18200000000007,324.35,277.85
165.1920000000001,385.55,406.15
152.1970000000001,420.13,344.65
122.12699999999997,290.55,339.15
182.1790000000001,480.48,369.65
167.16400000000007,384.7000000000001,274.25
167.16400000000007,384.7000000000001,333.15
224.2160000000001,522.35,397.15
179.2190000000001,366.22,352.15
179.2190000000001,366.22,408.15
209.2450000000001,423.31,391.15
180.2070000000001,438.21,446.65
45.085000000000015,195.56,192.15
165.1920000000001,355.72,287.45
165.1920000000001,355.72,362.75
132.11900000000003,363.02,469.65
121.18299999999994,302.12,226.15
121.18299999999994,302.12,209.15
121.18299999999994,302.12,268.04999999999995
121.18299999999992,259.0,209.75
149.19300000000007,320.20000000000005,343.65
163.2200000000001,347.07000000000005,359.15
146.19300000000007,442.16,449.65
101.19299999999993,225.64,398.15
145.20200000000014,263.64,251.15
89.09399999999997,249.16000000000005,321.4
113.11599999999996,253.43,247.05
277.32299999999964,419.78,383.65
169.1800000000001,290.42999999999995,325.15
201.22500000000008,339.70000000000005,324.15
218.2560000000001,629.1999999999999,554.65
193.24600000000007,327.47,339.65
123.19899999999993,339.17,273.15
167.20800000000008,392.77,398.15
167.2080000000001,392.77,351.65
167.2080000000001,392.77,390.65
167.2080000000001,392.77,384.45
593.0380000000033,723.2,422.15
43.06900000000001,239.51,195.15
225.3350000000001,400.62000000000006,302.15
175.1840000000001,439.84,464.15
104.10899999999997,301.82000000000005,318.95
89.13799999999993,228.13,283.15
145.20200000000014,248.64,208.15
135.21000000000004,325.91,240.15
135.21,282.7900000000001,258.15
226.27600000000007,644.73,403.15
155.19700000000012,452.67,399.65
141.1700000000001,444.92,337.65
151.16500000000008,362.47,260.95
151.16500000000008,362.47,260.85
195.1740000000001,416.07,320.15
195.1740000000001,416.07,330.15
149.1460000000001,413.78,330.65
163.22000000000008,311.28000000000003,328.15
165.1920000000001,312.6,326.15
179.2190000000001,323.87,331.15
149.23700000000014,285.42,398.65
107.15599999999996,266.61,210.15
107.15599999999996,266.61,196.25
107.15599999999996,266.61,182.65
151.16500000000008,320.21000000000004,274.15
151.16500000000008,320.21000000000004,281.65
151.16500000000008,320.21000000000004,296.15
129.188,486.33,473.95
87.14699999999998,222.96,187.65
137.22600000000006,362.96,339.65
88.10999999999996,309.42,367.15
175.18700000000007,386.44,359.65
167.2080000000001,395.03,370.15
162.14800000000005,516.8900000000001,385.15
331.20199999999977,651.8100000000001,391.15
301.34199999999964,486.16,326.15
349.42999999999967,574.87,322.45
372.5529999999994,717.2299999999999,525.15
383.3659999999997,529.2900000000001,278.15
355.69999999999976,642.78,320.85
181.23800000000008,439.15,403.45
196.2530000000001,534.9300000000001,439.15
77.05799999999998,246.08,381.15
111.11899999999996,280.17,244.15
111.11899999999996,280.17,271.25
135.14100000000005,284.44,359.15
121.11399999999998,273.17,307.95
328.2019999999999,640.31,364.85
186.098,496.65,298.95
125.14599999999996,303.96000000000004,287.35
155.12800000000004,364.31,326.35
141.10100000000003,340.52,267.15
141.10100000000003,340.52,314.15
141.10100000000003,340.52,299.65
130.07800000000003,506.83,557.15
255.03200000000004,643.21,505.15
248.19400000000005,595.51,427.15
323.39199999999965,589.01,388.65
247.24700000000013,552.37,418.15
146.14600000000007,508.16,455.15
307.3279999999997,818.56,468.15
612.6400000000016,1543.2399999999998,452.15
217.2680000000001,535.4399999999999,358.15
465.63099999999946,889.9499999999999,439.65
325.2699999999997,856.9699999999999,459.15
189.1710000000001,622.02,489.15
132.11900000000003,481.29,493.15
59.07200000000001,336.33,323.15
214.2680000000001,566.45,503.15
182.22600000000008,521.19,509.65
212.25200000000007,567.21,546.15
255.2740000000001,615.5699999999999,373.15
285.2999999999996,687.6600000000001,383.15
598.7000000000018,1526.82,445.65
255.49000000000032,364.61,322.15
251.45800000000028,346.34,307.15
130.23499999999996,335.17,298.45
122.17099999999996,298.63,241.75
111.18799999999992,233.64,209.35
115.21999999999991,251.91,250.15
255.44600000000028,403.27,378.15
237.43100000000027,335.07,304.54999999999995
241.4630000000003,353.34,319.15
100.16499999999994,364.27,313.65
160.21700000000016,465.17,423.15
306.2789999999997,919.6,410.15
115.17599999999992,290.57,374.15
144.1740000000001,423.76,499.05
116.20799999999991,323.9,311.95
108.14399999999996,287.36,275.35
174.20400000000015,529.0799999999999,454.95
97.16099999999994,222.37,192.85
106.12799999999996,282.28,349.15
101.19299999999993,240.64,252.15
111.14799999999995,435.12,356.15
135.18800000000005,400.16,505.15
268.3599999999998,706.4399999999999,537.15
160.18000000000006,530.56,445.15
75.07099999999997,370.14,369.15
118.09599999999996,484.0,521.15
76.09899999999996,309.04,203.15
57.05200000000001,238.11,201.15
137.13800000000006,439.98,413.15
133.15000000000003,317.15000000000003,263.15
152.15300000000005,492.64,421.15
119.12299999999996,371.78,371.15
119.12299999999996,371.78,355.95
119.12299999999996,371.78,386.15
103.12099999999997,328.85,325.15
125.17099999999994,325.74,308.15
370.9149999999999,512.94,488.95
228.116,779.65,455.15
243.39100000000025,410.9500000000001,361.65
47.057000000000016,214.51,360.65
167.20800000000008,427.81,457.65
123.15499999999994,321.07000000000005,369.15
151.11800000000008,463.33,438.15
101.10499999999996,296.49,349.15
169.18000000000006,536.28,433.15
90.08199999999997,358.97,384.15
183.11900000000003,623.52,421.15
183.11900000000003,623.52,502.65
151.16500000000008,420.65,482.15
151.16500000000008,420.65,421.65
151.16500000000008,420.65,441.15
213.23600000000008,503.42,409.65
213.23600000000008,432.33,394.15
179.2190000000001,443.19,412.65
213.2800000000001,393.6700000000001,395.65
375.59699999999935,600.97,406.95
131.131,479.22,512.65
131.131,479.22,547.15
71.07899999999998,234.38,233.15
71.07899999999998,249.38,227.15
189.17,607.19,555.65
157.25700000000018,403.74,403.15
76.05499999999998,347.70000000000005,414.15
141.17000000000007,429.13,555.15
261.28099999999995,785.22,444.15
311.3409999999997,875.52,494.15
289.33499999999964,820.28,446.15
68.07899999999998,316.8,362.67
100.07699999999998,485.21,493.15
114.06,553.4300000000001,520.15
86.09399999999997,416.99,404.85
123.15899999999996,340.02,267.15
133.10300000000004,508.7,520.65
95.10499999999998,317.48,351.15
118.13899999999995,407.1,419.25
134.13800000000003,508.05,525.65
132.16600000000005,442.61,405.15
117.15099999999995,346.83000000000004,325.45
175.18700000000007,542.49,441.65
156.18800000000007,446.88,309.15
203.2410000000001,565.03,397.65
147.13300000000004,482.51,474.15
161.2040000000001,442.71,332.15
205.21300000000008,599.5799999999999,373.15
189.21400000000008,553.76,407.65
175.18700000000007,424.22,402.15
159.18800000000007,431.82,465.45
173.2150000000001,443.09,389.15
613.9590000000005,786.9399999999998,498.15
184.96400000000003,303.55,366.15
219.02500000000003,337.64,329.65
219.02500000000003,337.64,306.15
219.02500000000003,337.64,336.04999999999995
229.02000000000004,330.64,400.65
249.007,397.99,323.15
249.007,397.99,309.15
249.007,397.99,446.15
570.9340000000004,693.27,429.15
137.1860000000001,375.81000000000006,301.15
73.13899999999995,203.1,187.15
193.24600000000007,363.2600000000001,337.65
117.14799999999994,256.7,340.15
115.20099999999996,230.5,214.25
147.13300000000004,482.51,511.15
137.14200000000005,441.19,444.55
227.30700000000013,384.06,356.15
59.11200000000002,191.83,178.03099999999998
103.16499999999994,244.59,401.65
103.12099999999997,245.43,366.15
293.45399999999944,443.97,343.15
149.2370000000001,322.18,257.15
152.19700000000012,447.89,446.15
226.3230000000001,414.49,345.65
179.2190000000001,308.87,358.15
113.15999999999994,243.21,337.65
121.18299999999994,262.88,218.25
211.2610000000001,547.0699999999999,443.65
144.17700000000005,417.63,396.15
144.17700000000005,417.63,451.65
129.16199999999998,321.85,299.61
145.16100000000006,433.5700000000001,503.15
117.14799999999994,392.39,573.15
332.3999999999996,633.3600000000001,446.15
301.3859999999996,547.89,376.15
237.7300000000001,457.29,365.65
328.4119999999995,697.6399999999999,437.15
461.77599999999984,676.4199999999998,366.15
131.17499999999998,371.24,566.15
131.17499999999998,371.24,566.15
131.17499999999998,371.24,566.15
197.19000000000008,669.91,550.15
249.0970000000001,459.78,366.05
205.34800000000013,490.91,401.15
242.36600000000016,552.03,372.15
