Group,Smile,Compound Name ,Commmon Name ,#C,#H,#N,pKa1,pKa2,Molecular weight(g/mol),MP©,BP©,density @20C G/ML,,BP,MP,SMILES,BoilingPoint,MeltingPoint,,,,,,,,,,
1-Amine,CN,Methylamine,Methanamine,1,5,1,10.59,,31.06,-93,-6,0.66,,267,180,CN,295.01,184.29,-28.01,-4.29,,,,,,,,
1-Amine,CCN,Ethylamine,Ethanamine,2,7,1,10.67,,45.08,-81,17,0.685,,290,192,CCN,317.89,195.56,-27.89,-3.56,,,,,,,,
1-Amine,CCCN,Propylamine,1-Propanamine,3,9,1,10.69,,59.11,-85,47,0.717,,320,188,CCCN,340.77,206.83,-20.77,-18.83,,,,,,,,
1-Amine,CCCCN,Butylamine,1-Butanamine,4,11,1,10.61,,73.14,-49,77,0.741,,350,224,CCCCN,363.65,218.1,-13.65,5.9,,,,,,,,
1-Amine,CCCCCN,Pentylamine,Amylamine,5,13,1,10.63,,87.16,-51,105,0.754,,378,222,CCCCCN,386.53,229.37,-8.53,-7.37,,,,,,,,
1-Amine,CCCCCCN,Hexylamine,1-Hexanamine,6,15,1,10.56,,101.19,-21,132,0.766,,405,252,CCCCCCN,409.41,240.64,-4.41,11.36,,,,,,,,
1-Amine,CCCCCCCN,Heptylamine,1-Heptanamine,7,17,1,10.67,,115.22,-23,153,0.775,,426,250,CCCCCCCN,432.29,251.91,-6.29,-1.91,,,,,,,,
1-Amine,CCCCCCCCN,Octylamine,1-Octanamine,8,19,1,10.65,,129.24,0,179,0.783,,452,273,CCCCCCCCN,455.17,263.18,-3.17,9.82,,,,,,,,
1-Amine,CCCCCCCCCN,Nonylamine,1-Nonanamine,9,21,1,10.64,,143.27,-1,198,0.791,,471,272,CCCCCCCCCN,478.05,274.45,-7.05,-2.45,,,,,,,,
1-Amine,CCCCCCCCCCN,Decylamine,1-Decanamine,10,23,1,10.64,,157.3,15,217,0.794,,490,288,CCCCCCCCCCN,500.93,285.72,-10.93,2.28,,,,,,,,
1-Amine,CCCCCCCCCCCN,Undecylamine,1-Undecanamine,11,25,1,10.63,,171.32,15,229,0.798,,502,288,CCCCCCCCCCCN,523.81,296.99,-21.81,-8.99,,,,,,,,
1-Amine,CCCCCCCCCCCCN,Dodecylamine,1-Dodecanamine,12,27,1,10.63,,185.35,28,255,0.802,,528,301,CCCCCCCCCCCCN,546.69,308.26,-18.69,-7.26,,,,,,,,
1-Amine,CCCCCCCCCCCCCN,(Tridecyl)amine,1-Tridecanamine,13,29,1,10.63,,199.38,27,273,0.806,,546,300,CCCCCCCCCCCCCN,569.57,319.53,-23.57,-19.53,,,,,,,,
1-Amine,CCCCCCCCCCCCCCN,Tetradecylamine,1-Tetradecanamine,14,31,1,10.62,,213.4,39,289,0.808,,562,312,CCCCCCCCCCCCCCN,592.45,330.8,-30.45,-18.8,,,,,,,,
1-Amine,CCCCCCCCCCCCCCCN,Pentadecylamine,Pentadecanamine,15,33,1,10.61,,227.43,37,312,0.81,,585,310,CCCCCCCCCCCCCCCN,615.33,342.07,-30.33,-32.07,,,,,,,,
1-Amine,CCCCCCCCCCCCCCCCN,Hexadecylamine,1-Hexadecanamine,16,35,1,10.63,,241.46,46,321,0.813,,594,319,CCCCCCCCCCCCCCCCN,638.21,353.34,-44.21,-34.34,,,,,,,,
1-Amine,CCCCCCCCCCCCCCCCCN,Octadecylamine,1-Octadecanamine,18,39,1,10.6,,269.51,53,350,0.862,,623,326,CCCCCCCCCCCCCCCCCN,661.09,364.61,-38.09,-38.61,,,,,,,,
Amine,CN(C),Dimethylamine,Methyl methylamine,2,7,1,10.73,,45.08,-92,7,0.654,,280,181,CN(C),295.53,164.96,-15.53,16.04,,,,,,,,
Amine,C=CCN,Allylamine,2-propen-1-amine,3,7,1,9.49,,57.09,-88,54,0.758,,327,185,C=CCN,337.45,205.07,-10.45,-20.07,,,,,,,,
Amine,CN(C)C,Trimethylamine,Dimethyl methylamine,3,9,1,9.81,,59.11,-117,3,0.631,,276,156,CN(C)C,280.68,156.04,-4.68,-0.04,,,,,,,,
Amine,CN(C)C,2-Propanamine,,3,9,1,10.6,,59.11,-95,32,0.682,,305,178,CN(C)C,280.68,156.04,24.32,21.96,,,,,,,,
Amine,CC(C)CN,sec-Butylamine,2-Butanamine,4,11,1,10.6,,73.14,-105,63,0.725,,336,168,CC(C)CN,363.21,203.1,-27.21,-35.1,,,,,,,,
Amine,CC(C)(C)N,tert-Butylamine,2-Methyl-2-propanamine,4,11,1,10.68,,73.14,-67,46,0.696,,319,206,CC(C)(C)N,360.42,220.52,-41.42,-14.52,,,,,,,,
Amine,CCCCN,Butylamine,1-Butanamine,4,11,1,10.77,,73.14,-49,77,0.741,,350,224,CCCCN,363.65,218.1,-13.65,5.9,,,,,,,,
Amine,CCN(CC),Diethylamine,Ethyl ethylamine,4,11,1,10.98,,73.14,-50,56,0.706,,329,223,CCN(CC),341.29,187.5,-12.29,35.5,,,,,,,,
Amine,CC(C)CH2NH2,iso-Butylamine,2-Methyl-1-propanamine,5,12,1,10.43,,86.16,-85,68,0.73,,341,188,CC(C)CH2NH2,NaN,NaN,#VALUE!,#VALUE!,,,,,,,,
Amine,c1ccccc1N,Aniline,,6,7,1,4.61,,93.13,-6,184,1.025,,457,267,c1ccccc1N,436.09,267.06,20.91,-0.06,,,,,,,,
Amine, C1CCCCC1N,Cyclohexylamine,,6,13,1,10.66,,99.17,-18,134,0.819,,407,255, C1CCCCC1N,428.96,248.02,-21.96,6.98,,,,,,,,
Amine,CCN(CC)CC,Triethylamine,Diethyl ethylamine,6,15,1,10.75,,101.19,-115,90,0.727,,363,158,CCN(CC)CC,349.32,189.85,13.68,-31.85,,,,,,,,
Amine,  Cc1ccccc1N,o-Toluidine,"2-Aminotoluene, 2-Methylaniline",7,9,1,4.45,,107.15,-28,199,1.01,,472,245,  Cc1ccccc1N,463.95,290.85,8.05,-45.85,,,,,,,,
Amine, Cc1cccc(N)c1,m-Toluidine,"3-Aminotoluene, 3-Methylaniline",7,9,1,4.71,,107.15,-30,203,1.001,,476,243, Cc1cccc(N)c1,463.95,290.85,12.05,-47.85,,,,,,,,
Amine, Cc1ccc(N)cc1,p-Toluidine,"4-Aminotoluene, 4-Methylaniline",7,9,1,5.08,,107.15,44,201,0.975,,474,317, Cc1ccc(N)cc1,463.95,290.85,10.05,26.15,,,,,,,,
Amine,CCCCCCCN,2-Heptylamine,"2-Heptanamine, 1-Methylhexylamine",7,17,1,10.7,,115.22,,143,0.766,,416,273,CCCCCCCN,432.29,251.91,-16.29,21.09,,,,,,,,
Amine,CCCN(CCC),Dibutylamine,,8,19,1,11.25,,129.24,-62,162,0.767,,435,211,CCCN(CCC),387.05,210.04,47.95,0.96,,,,,,,,
Amine,c1ccc(cc1)NCC=C,n-Allylaniline,Allylphenylamine,9,11,1,4.17,,133.19,,219,0.977,,492,273,c1ccc(cc1)NCC=C,479.05,268.51,12.95,4.49,,,,,,,,
Amine,c1ccc2ccccc2c1N,2-Naphthylamine,"2-Aminonaphthalene, beta-naphthylamine",10,9,1,4.16,,143.19,112,306,1.063,,579,385,c1ccc2ccccc2c1N,551.57,357.36,27.43,27.64,,,,,,,,
Amine,c1ccc(cc1)Nc2ccccc2,Diphenylamine,N-phenyl-aminobenzene,12,11,1,0.79,,169.22,51,302,1.16,,575,324,c1ccc(cc1)Nc2ccccc2,577.69,330.5,-2.69,-6.5,,,,,,,,
Amine,c1ccc2ccccc2c1N,2-Aminobiphenyl,"2-Biphenylylamine, 2-Phenylaniline",12,11,1,3.82,,169.22,48,299,,,572,321,c1ccc2ccccc2c1N,551.57,357.36,20.43,-36.36,,,,,,,,
Amine,c1ccc(cc1)c2ccc(N)cc2,4-Aminobiphenyl,"4-Phenylaniline, Xenylamine",12,11,1,4.35,,169.22,53,348,,,621,326,c1ccc(cc1)c2ccc(N)cc2,605.03,373.62,15.97,-47.62,,,,,,,,
Amine,c1ccc(cc1)CCc2ccc(N)cc2,4-Benzylaniline,,13,13,1,2.17,,183.25,35,300,1.038,,573,308,c1ccc(cc1)CCc2ccc(N)cc2,650.79,396.16,-77.79,-88.16,,,,,,,,
Diamine,NCC(C)N,"1,2-Propandiamine",,3,10,2,9.82,6.61,74.12,,118,0.875,,391,273,NCC(C)N,412.86,275.09,-21.86,-2.09,,,,,,,,
Diamine,NCCCN,"1,3-Propandiamine",,3,10,2,10.55,8.88,74.12,-11,139,0.887,,412,262,NCCCN,413.3,290.09,-1.3,-28.09,,,,,,,,
Diamine,c1cc(N)cc(N)c1,"1,3-diaminobenzene",m-phenylenediamine,6,8,2,2.3,5,108.14,65,282,,,555,338,c1cc(N)cc(N)c1,513.6,362.84,41.4,-24.84,,,,,,,,
Diamine,c1cc(N)ccc1N,"1,2-diaminobenzene",o-phenylenediamine,6,8,2,0.6,4.74,108.14,102,256,,,529,375,c1cc(N)ccc1N,513.6,362.84,15.4,12.16,,,,,,,,
Diamine,c1cc(N)ccc1N,"1,4-diaminobenzene",p-Phenylenediamine,6,8,2,2.7,6.2,108.14,140,267,,,540,413,c1cc(N)ccc1N,513.6,362.84,26.4,50.16,,,,,,,,
Diamine,NCCCCCCN,"1,6-hexanediamine",,6,16,2,11.86,10.76,116.2,,,,,273,273,NCCCCCCN,481.94,323.9,-208.94,-50.9,,,,,,,,
Diamine,c1ccc(cc1)Nc2ccc(cc2)N,p-Benzidine,"1,1-biphenyl-4,4-diamine",12,12,2,1.66,3.57,184.24,127,401,,,674,400,c1ccc(cc1)Nc2ccc(cc2)N,655.2,426.28,18.8,-26.28,,,,,,,,
Piperidine,C1CCNCC1,Piperidine,,5,11,1,11.12,,85.15,-13,106,0.862,,379,260,C1CCNCC1,386.77,262.76,-7.77,-2.76,,,,,,,,
Pyridine,c1ccncc1,Pyridine,Azine,5,5,1,5.23,,79.1,-42,115,0.982,,388,231,c1ccncc1,389.4,231.55,-1.4,-0.55,,,,,,,,
Pyridine,CC1=CN=CC=C1,3-Methylpyridine,,6,7,1,5.52,,93.13,-18,144,1.504,,417,255,CC1=CN=CC=C1,417.26,255.34,-0.26,-0.34,,,,,,,,
Pyridine,CC1=CC=NC=C1,4-Methylpyridine,,6,7,1,6.08,,93.13,4,145,1.504,,418,277,CC1=CC=NC=C1,417.26,255.34,0.74,21.66,,,,,,,,
Pyridine,CC1=CC=CC=N1,2-Methylpyridine,,6,7,1,6.2,,93.13,-67,129,1.499,,402,206,CC1=CC=CC=N1,417.26,255.34,-15.26,-49.34,,,,,,,,
Pyridine,CCC1=CC=CC=N1,2-Ethylpyridine,,7,9,1,5.89,,107.15,-63,149,0.952,,422,210,CCC1=CC=CC=N1,440.14,266.61,-18.14,-56.61,,,,,,,,
Pyridine, CC1=NC(C)=CC(C)=C1,"2,4,6-trimethylpyridine","2,4,6-Collidine",8,11,1,7.43,,121.18,-44,170,0.917,,443,229, CC1=NC(C)=CC(C)=C1,472.98,302.92,-29.98,-73.92,,,,,,,,
Pyridine,c1ccc(cc1)Cc2ccccn2,2-Benzylpyridine,,12,11,1,5.13,,169.22,13,277,1.059,,550,286,c1ccc(cc1)Cc2ccccn2,581.22,349.38,-31.22,-63.38,,,,,,,,
Pyrrole,C1CCNC1,Pyrrolidine,"Azacyclopentane, tetrahydropyrrole",4,9,1,11.27,,71.12,-58,87,0.859,,360,215,C1CCNC1,359.62,255.01,0.38,-40.01,,,,,,,,
Quinoline,c1ccc2ncccc2c1,Quinoline,1-Azanapthalene,9,7,1,4.9,,129.16,-15,237,1.096,,510,258,c1ccc2ncccc2c1,504.88,321.85,5.12,-63.85,,,,,,,,
Quinoline,c1ccc2c(c1)cncc2,Isoquinoline,,9,7,1,5.42,,129.16,27,242,1.101,,515,300,c1ccc2c(c1)cncc2,504.88,321.85,10.12,-21.85,,,,,,,,
Quinoline,c1ccc2c(c1)ccc3cccnc23,Acridine,"Dibenzo(b,e)pyridine",13,9,1,5.58,,179.22,111,347,1.005,,620,384,c1ccc2c(c1)ccc3cccnc23,620.36,412.15,-0.36,-28.15,,,,,,,,
Quinoline,c1ccc2c(c1)nc3ccccc3c2,Benzo(c)quinoline,Phenanthridine,13,9,1,5.58,,179.22,107,350,,,623,380,c1ccc2c(c1)nc3ccccc3c2,620.36,412.15,2.64,-32.15,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,